pop,W,w0,w1,n_units,is_stationary,cv,drift,pv,cv2,vr,nwin,flags
VIS,600.0,1800.0,2400.0,41,False,3.1257772280776006,0.001629215314709538,0.019558987411336323,0.7563803290297179,9.997938759278897,20,population_rate_cv=3.126 > 0.3;rolling_var_ratio=10.00 > 3.0
VIS,600.0,2400.0,3000.0,41,False,0.8626340277671841,0.0019207571774965877,0.4351400385351408,0.8343702321118779,1206.4677647058825,20,population_rate_cv=0.863 > 0.3;rolling_var_ratio=1206.47 > 3.0
VIS,600.0,3000.0,3600.0,41,False,1.2523312720537825,0.00659429060456018,0.0020843810340241526,0.8231189874670269,6.514658076428239,20,population_rate_cv=1.252 > 0.3;rate_drift p=0.00208 < 0.01 (slope=0.00659 Hz/s);rolling_var_ratio=6.51 > 3.0
VIS,600.0,3600.0,4200.0,41,False,0.724911353120105,-0.009243026264849118,0.08267163015502334,0.7031263960397772,216.70320397521357,20,population_rate_cv=0.725 > 0.3;rolling_var_ratio=216.70 > 3.0
VIS,600.0,4200.0,4800.0,41,False,4.472135954999579,-2.0131629887727447e-05,0.10036562194728632,0.659902589910501,1.0,20,population_rate_cv=4.472 > 0.3
VIS,1200.0,0.0,1200.0,41,True,0.0,0.0,1.0,,1.0,40,
VIS,1200.0,1200.0,2400.0,41,False,4.479459471876574,0.00042703773191578076,0.01751052662121063,0.7563803290297179,9.997938759278897,40,population_rate_cv=4.479 > 0.3;rolling_var_ratio=10.00 > 3.0
VIS,1200.0,2400.0,3600.0,41,False,1.0255536927038897,0.0001981751806261028,0.8167642485506688,0.8295482701212274,1206.4677647058825,40,population_rate_cv=1.026 > 0.3;rolling_var_ratio=1206.47 > 3.0
VIS,1200.0,3600.0,4800.0,41,False,1.4308769455295645,-0.008274500831312252,2.558011330006799e-07,0.7031615177561448,1668.381369165023,40,population_rate_cv=1.431 > 0.3;rate_drift p=2.56e-07 < 0.01 (slope=-0.00827 Hz/s);rolling_var_ratio=1668.38 > 3.0
CA1,300.0,0.0,300.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,300.0,600.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,600.0,900.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,900.0,1200.0,10,True,0.0,0.0,1.0,,1.0,10,
CA1,300.0,1200.0,1500.0,10,True,0.0,0.0,1.0,,1.0,10,
