pop,W,t0,t1,n_units,base_cv,base_vr,cv_th,vr_th,cv,vr,drift,pv,stat_adapt,alpha_s,alpha_t,opt_bin_ms,branching,r2,gamma_fit,gamma_pred,gamma_dev,n_av
VISa5,120.0,3690.0,3810.0,33,0.19573376984223848,13.652157322358205,0.3,20.478235983537306,0.18991866959351159,16.098946922043954,0.005905082571749239,0.008632551974905677,False,1.493784619732288,1.647358743924583,32.0,0.9421491287594669,0.8485770170691455,1.3947588115603786,1.3110143938374534,0.06387757305836893,679
VISa5,120.0,3750.0,3870.0,33,0.19573376984223848,13.652157322358205,0.3,20.478235983537306,0.13227306173275422,8.679469593049836,0.0010998877665544336,0.6373006899017365,True,1.456891489441295,1.6051457984213795,32.0,1.0090761861307247,0.875325859217896,1.3659938207214293,1.324484724286232,0.031339807605230426,623
VISa5,200.0,3630.0,3830.0,33,0.19573376984223848,13.652157322358205,0.3,20.478235983537306,0.20670032037051206,16.983064198503346,0.003696392496392497,0.009013545568584438,True,1.4900845711703399,1.6418060860667194,32.0,0.9407737081495667,0.8466885214067064,1.3895547127066679,1.3095823125671209,0.06106710465780524,1110
VISa6a,120.0,3630.0,3750.0,60,0.18243846454827267,15.163658083485851,0.3,22.745487125228777,0.2235461489727237,8.215635931520529,0.043210758377425065,0.006350624684364671,False,1.170694682355002,1.2871946334359448,32.0,1.2295339082682633,0.9665461540649334,1.3671252409936723,1.6825048646720713,0.18744648547561144,88
VISa6a,120.0,3690.0,3810.0,60,0.18243846454827267,15.163658083485851,0.3,22.745487125228777,0.0793098488343882,28.117885935351566,0.016768077601410927,0.024156098160758217,False,1.1621419966895519,1.2728353978852367,32.0,1.2052418710980228,0.9796169704340728,1.3355478542624963,1.6826942029561038,0.20630388342917674,70
VISa6a,120.0,3750.0,3870.0,60,0.18243846454827267,15.163658083485851,0.3,22.745487125228777,0.12011039242538235,6.651913681640571,-0.0006719576719576459,0.9620591388780789,True,1.1566791055976156,1.257727712604294,32.0,1.2077934433918334,0.9842813590204343,1.3166835027483754,1.6449399019815207,0.19955525356137477,53
VISa6a,200.0,3630.0,3830.0,60,0.18243846454827267,15.163658083485851,0.3,22.745487125228777,0.20696153911829632,18.53925442180603,0.021198095238095238,0.05581890803575941,True,1.167654295212268,1.2804614703891286,32.0,1.2199446060953587,0.9721168416573779,1.3458940890116218,1.672855861128013,0.19545125178682146,123
CA1,120.0,3960.0,4080.0,40,0.32476287047178476,47.30171478090371,0.3897154445661417,70.95257217135557,0.39685656099739797,4.663308382014894,-0.004947089947089948,0.8169432919922868,False,1.2749687293633296,1.4102464211785932,32.0,1.2170794288573268,0.9491161292892012,1.3099174568742937,1.4919748224770482,0.12202442216852832,158
CA1,120.0,4020.0,4140.0,40,0.32476287047178476,47.30171478090371,0.3897154445661417,70.95257217135557,0.4783058151571781,8.835788561525137,-0.003342592592592586,0.8889926168959466,False,1.3116148885113765,1.465063038970138,32.0,1.2342496396857003,0.9330964563927356,1.3502143658783274,1.4924288155543612,0.09529060829826472,265
CA1,120.0,4080.0,4200.0,40,0.32476287047178476,47.30171478090371,0.3897154445661417,70.95257217135557,0.45695353356493107,12.077302900493777,0.04137566137566138,0.09443465658736493,False,1.2983301947758632,1.4443136442371474,32.0,1.2389725699131506,0.9392858393228772,1.3422227134040727,1.4893351461489246,0.09877725179940224,179
